Batch 2060/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2065/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2070/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2075/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2080/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2085/2797, Loss: 0.2238, Train Acc: 91.78%
Batch 2090/2797, Loss: 0.2239, Train Acc: 91.78%
Batch 2095/2797, Loss: 0.2239, Train Acc: 91.78%
Batch 2100/2797, Loss: 0.2239, Train Acc: 91.77%
Batch 2105/2797, Loss: 0.2238, Train Acc: 91.78%
Batch 2110/2797, Loss: 0.2239, Train Acc: 91.78%
Batch 2115/2797, Loss: 0.2239, Train Acc: 91.78%
Batch 2120/2797, Loss: 0.2238, Train Acc: 91.78%
Batch 2125/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2130/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2135/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2140/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2145/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2150/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2155/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2160/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2165/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2170/2797, Loss: 0.2236, Train Acc: 91.77%
Batch 2175/2797, Loss: 0.2236, Train Acc: 91.77%
Batch 2180/2797, Loss: 0.2236, Train Acc: 91.77%
Batch 2185/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2190/2797, Loss: 0.2236, Train Acc: 91.77%
Batch 2195/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2200/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2205/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2210/2797, Loss: 0.2236, Train Acc: 91.77%
Batch 2215/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2220/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2225/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2230/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2235/2797, Loss: 0.2239, Train Acc: 91.77%
Batch 2240/2797, Loss: 0.2239, Train Acc: 91.77%
Batch 2245/2797, Loss: 0.2240, Train Acc: 91.77%
Batch 2250/2797, Loss: 0.2239, Train Acc: 91.77%
Batch 2255/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2260/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2265/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2270/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2275/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2280/2797, Loss: 0.2238, Train Acc: 91.77%
Batch 2285/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2290/2797, Loss: 0.2237, Train Acc: 91.77%
Batch 2295/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2300/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2305/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2310/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2315/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2320/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2325/2797, Loss: 0.2237, Train Acc: 91.78%
Batch 2330/2797, Loss: 0.2236, Train Acc: 91.78%
Batch 2335/2797, Loss: 0.2236, Train Acc: 91.79%
Batch 2340/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2345/2797, Loss: 0.2234, Train Acc: 91.79%
Batch 2350/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2355/2797, Loss: 0.2234, Train Acc: 91.79%
Batch 2360/2797, Loss: 0.2235, Train Acc: 91.80%
Batch 2365/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2370/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2375/2797, Loss: 0.2235, Train Acc: 91.79%
Batch 2380/2797, Loss: 0.2235, Train Acc: 91.80%
Batch 2385/2797, Loss: 0.2235, Train Acc: 91.80%
Batch 2390/2797, Loss: 0.2234, Train Acc: 91.80%
Batch 2395/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2400/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2405/2797, Loss: 0.2232, Train Acc: 91.81%
Batch 2410/2797, Loss: 0.2232, Train Acc: 91.81%
Batch 2415/2797, Loss: 0.2231, Train Acc: 91.81%
Batch 2420/2797, Loss: 0.2231, Train Acc: 91.81%
Batch 2425/2797, Loss: 0.2231, Train Acc: 91.81%
Batch 2430/2797, Loss: 0.2232, Train Acc: 91.81%
Batch 2435/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2440/2797, Loss: 0.2232, Train Acc: 91.80%
Batch 2445/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2450/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2455/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2460/2797, Loss: 0.2233, Train Acc: 91.80%
Batch 2465/2797, Loss: 0.2232, Train Acc: 91.80%
Batch 2470/2797, Loss: 0.2233, Train Acc: 91.79%
Batch 2475/2797, Loss: 0.2233, Train Acc: 91.79%
Batch 2480/2797, Loss: 0.2233, Train Acc: 91.79%
