Batch 1930/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 1935/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 1940/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 1945/2797, Loss: 0.2659, Train Acc: 90.09%
Batch 1950/2797, Loss: 0.2658, Train Acc: 90.10%
Batch 1955/2797, Loss: 0.2658, Train Acc: 90.10%
Batch 1960/2797, Loss: 0.2658, Train Acc: 90.10%
Batch 1965/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 1970/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 1975/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 1980/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 1985/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 1990/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 1995/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 2000/2797, Loss: 0.2657, Train Acc: 90.10%
Batch 2005/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 2010/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 2015/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 2020/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 2025/2797, Loss: 0.2658, Train Acc: 90.08%
Batch 2030/2797, Loss: 0.2658, Train Acc: 90.08%
Batch 2035/2797, Loss: 0.2657, Train Acc: 90.09%
Batch 2040/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 2045/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 2050/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 2055/2797, Loss: 0.2656, Train Acc: 90.10%
Batch 2060/2797, Loss: 0.2655, Train Acc: 90.10%
Batch 2065/2797, Loss: 0.2655, Train Acc: 90.10%
Batch 2070/2797, Loss: 0.2654, Train Acc: 90.11%
Batch 2075/2797, Loss: 0.2653, Train Acc: 90.12%
Batch 2080/2797, Loss: 0.2653, Train Acc: 90.12%
Batch 2085/2797, Loss: 0.2653, Train Acc: 90.11%
Batch 2090/2797, Loss: 0.2653, Train Acc: 90.11%
Batch 2095/2797, Loss: 0.2653, Train Acc: 90.11%
Batch 2100/2797, Loss: 0.2652, Train Acc: 90.11%
Batch 2105/2797, Loss: 0.2652, Train Acc: 90.11%
Batch 2110/2797, Loss: 0.2651, Train Acc: 90.12%
Batch 2115/2797, Loss: 0.2651, Train Acc: 90.11%
Batch 2120/2797, Loss: 0.2652, Train Acc: 90.11%
Batch 2125/2797, Loss: 0.2652, Train Acc: 90.11%
Batch 2130/2797, Loss: 0.2652, Train Acc: 90.11%
Batch 2135/2797, Loss: 0.2651, Train Acc: 90.12%
Batch 2140/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2145/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2150/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2155/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2160/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2165/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2170/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2175/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2180/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2185/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2190/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2195/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2200/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2205/2797, Loss: 0.2650, Train Acc: 90.12%
Batch 2210/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2215/2797, Loss: 0.2648, Train Acc: 90.12%
Batch 2220/2797, Loss: 0.2648, Train Acc: 90.12%
Batch 2225/2797, Loss: 0.2648, Train Acc: 90.12%
Batch 2230/2797, Loss: 0.2648, Train Acc: 90.12%
Batch 2235/2797, Loss: 0.2649, Train Acc: 90.12%
Batch 2240/2797, Loss: 0.2648, Train Acc: 90.12%
Batch 2245/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2250/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2255/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2260/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2265/2797, Loss: 0.2645, Train Acc: 90.14%
Batch 2270/2797, Loss: 0.2645, Train Acc: 90.14%
Batch 2275/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2280/2797, Loss: 0.2645, Train Acc: 90.13%
Batch 2285/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2290/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2295/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2300/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2305/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2310/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2315/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2320/2797, Loss: 0.2646, Train Acc: 90.14%
Batch 2325/2797, Loss: 0.2646, Train Acc: 90.14%
Batch 2330/2797, Loss: 0.2646, Train Acc: 90.13%
Batch 2335/2797, Loss: 0.2647, Train Acc: 90.13%
